item_id,order_id,product_name,category,sales_usd,sales_tier
53,CA-2021-138688,"Cisco TelePresence System EX90",Technology,7999.98,"Platinum (≥ $2000)"
17,CA-2022-143336,"Apple MacBook Pro 15"",Technology,4099.99,"Platinum (≥ $2000)"
31,CA-2023-112221,"Apple MacBook Pro 15"",Technology,2499.99,"Platinum (≥ $2000)"
44,CA-2023-170310,"Apple MacBook Pro 15"",Technology,1999.99,"Gold ($500–$1999)"
11,CA-2021-115812,"Chromcraft Rectangular Conference Tables",Furniture,1706.18,"Gold ($500–$1999)"
35,CA-2023-102925,"Mitel 5320 IP Phone VoIP phone",Technology,1360.73,"Gold ($500–$1999)"
50,CA-2023-138897,"Plantronics CS510",Technology,999.98,"Gold ($500–$1999)"
4,CA-2021-138688,"Bretford CR4500 Series Slim Rectangular Table",Furniture,957.58,"Gold ($500–$1999)"
13,CA-2021-115813,"Konftel 250 Conference phone",Technology,911.42,"Gold ($500–$1999)"
8,US-2020-108966,"Mitel 5320 IP Phone VoIP phone",Technology,907.15,"Gold ($500–$1999)"
2,CA-2021-152156,"Hon Deluxe Fabric Upholstered Stacking Chairs",Furniture,731.94,"Gold ($500–$1999)"
54,US-2020-108966,"Global Adaptabilities Executive Chair",Furniture,576.75,"Gold ($500–$1999)"
58,CA-2021-107727,"Bevis 36 x 72 Conference Tables",Furniture,570.24,"Gold ($500–$1999)"
49,CA-2020-195725,"Chromcraft Rectangular Conference Tables",Furniture,568.73,"Gold ($500–$1999)"
27,US-2020-118983,"GBC DocuBind P400 Electric Binding System","Office Supplies",549.98,"Gold ($500–$1999)"
33,CA-2022-167199,"Bush Somerset Collection Bookcase",Furniture,523.92,"Gold ($500–$1999)"
56,CA-2021-135069,"Bush Somerset Collection Bookcase",Furniture,523.92,"Gold ($500–$1999)"
26,CA-2021-135070,"Plantronics CS510",Technology,499.99,"Silver ($100–$499)"
39,CA-2020-134515,"Hon Deluxe Fabric Upholstered Stacking Chairs",Furniture,487.96,"Silver ($100–$499)"
41,CA-2023-118256,"Konftel 250 Conference phone",Technology,455.71,"Silver ($100–$499)"
59,CA-2022-179980,"Mitel 5320 IP Phone VoIP phone",Technology,453.58,"Silver ($100–$499)"
30,CA-2023-112220,"Global Adaptabilities Executive Chair",Furniture,432.75,"Silver ($100–$499)"
36,CA-2023-102926,"Bretford CR4500 Series Slim Rectangular Table",Furniture,383.03,"Silver ($100–$499)"
28,CA-2022-100391,"Bevis 36 x 72 Conference Tables",Furniture,380.16,"Silver ($100–$499)"
16,CA-2020-167164,"Global Adaptabilities Executive Chair",Furniture,288.38,"Silver ($100–$499)"
1,CA-2021-152156,"Bush Somerset Collection Bookcase",Furniture,261.96,"Silver ($100–$499)"
46,CA-2023-122428,"O'Sullivan Plantations 2-Door Library",Furniture,240.74,"Silver ($100–$499)"
42,CA-2022-155363,"Eldon Expressions Punched Metal & Wood Folders",Furniture,209.67,"Silver ($100–$499)"
48,CA-2022-179980,"Fellowes Super Stor/Drawer","Office Supplies",199.92,"Silver ($100–$499)"
57,CA-2023-102925,"Fellowes Super Stor/Drawer","Office Supplies",149.94,"Silver ($100–$499)"
47,CA-2021-107727,"Logitech Wireless Combo MK270",Technology,121.29,"Silver ($100–$499)"
24,CA-2021-119823,"O'Sullivan Plantations 2-Door Library",Furniture,120.37,"Silver ($100–$499)"
10,US-2020-108967,"Belkin F5C206VTEL 6 Outlet Surge","Office Supplies",114.90,"Silver ($100–$499)"
20,CA-2022-143337,"Seth Thomas Clock (Set of 6)",Furniture,102.00,"Silver ($100–$499)"
21,CA-2022-160782,"Fellowes Super Stor/Drawer","Office Supplies",99.96,"Bronze (< $100)"
22,CA-2022-160782,"Logitech Wireless Combo MK270",Technology,72.77,"Bronze (< $100)"
38,CA-2022-140839,"Logitech G500s Laser Gaming Mouse",Technology,59.20,"Bronze (< $100)"
6,CA-2021-138688,"Eldon Expressions Punched Metal & Wood Folders",Furniture,48.86,"Bronze (< $100)"
32,CA-2023-145317,"Self-Adhesive Address Labels","Office Supplies",48.48,"Bronze (< $100)"
45,CA-2020-143259,"Belkin F5C206VTEL 6 Outlet Surge","Office Supplies",45.96,"Bronze (< $100)"
